respondent_idx,family_a_rate,family_c_rate,family_b_rate
264,0.01928374655647383,0.0,0.9173553719008265
265,0.003278688524590164,0.0,0.0
266,0.003676470588235294,0.0,0.0
267,0.00749063670411985,0.0,
268,0.03202846975088968,0.0498220640569395,
269,0.0,0.0,
270,0.0,0.0,
271,0.0,0.0,0.0
272,0.006872852233676976,0.0,
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.014814814814814815,0.0,0.0
276,0.08135593220338982,0.006779661016949152,
277,0.007547169811320755,0.0,
278,0.05019305019305019,0.023166023166023165,
279,0.0,0.0,0.0
280,0.008097165991902834,0.03643724696356275,
281,0.03018867924528302,0.033962264150943396,
282,0.0,0.0,0.0
283,0.0,0.00392156862745098,
284,0.007575757575757576,0.022727272727272728,
285,0.0,0.0,0.0
286,0.053497942386831275,0.08641975308641975,
287,0.006756756756756757,0.02027027027027027,
288,0.0,0.0,0.0
289,0.0,0.0,0.0
290,0.1810344827586207,0.0,0.004310344827586207
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.0,0.0
295,0.028169014084507043,0.01056338028169014,
296,0.0,0.0035842293906810036,0.0
297,0.25357142857142856,0.017857142857142856,
298,0.0,0.0,0.0
299,0.0,0.0,
300,0.27586206896551724,0.0,0.0
301,0.00392156862745098,0.0,0.0
302,0.06324110671936758,0.003952569169960474,
303,0.003389830508474576,0.0,0.0
304,0.01092896174863388,0.0,0.8661202185792349
305,0.0,0.0,0.0
306,0.0,0.0,
307,0.07857142857142857,0.04285714285714286,
308,0.05019305019305019,0.0,
309,0.09063444108761329,0.08157099697885196,
310,0.04516129032258064,0.0,0.0
311,0.02531645569620253,0.056962025316455694,
312,0.00625,0.0,
313,0.0,0.0,0.0
314,0.0,0.0,0.0
315,0.0,0.0,0.0
316,0.007633587786259542,0.0,
317,0.0,0.0,0.0
318,0.0,0.0,0.0
319,0.0,0.0,0.0
320,0.0,0.0,0.0
321,0.0,0.0,0.0
322,0.003937007874015748,0.003937007874015748,
323,0.0,0.0,0.0
324,0.0,0.0,0.0
325,0.2,0.025396825396825397,
326,0.0072992700729927005,0.01824817518248175,
327,0.0,0.0,0.0
328,0.030418250950570342,0.0,0.0038022813688212928
329,0.045454545454545456,0.01048951048951049,
330,0.0,0.0,0.0
331,0.052805280528052806,0.0165016501650165,
332,0.00980392156862745,0.0,
333,0.028901734104046242,0.0,0.7687861271676301
334,0.0,0.0,0.0
335,0.0,0.046762589928057555,
336,0.0,0.0,0.0
337,0.011494252873563218,0.01532567049808429,
338,0.0,0.0,0.0
339,0.007722007722007722,0.003861003861003861,
340,0.01282051282051282,0.0,0.0
341,0.05241935483870968,0.008064516129032258,
342,0.0,0.0,0.0
343,0.011320754716981131,0.0,
344,0.0033112582781456954,0.0,0.0
345,0.0,0.011194029850746268,
346,0.05338078291814947,0.0035587188612099642,
347,0.0,0.0,0.0
348,0.1553784860557769,0.00398406374501992,
349,0.025547445255474453,0.0,0.0
350,0.0,0.0,
351,0.003937007874015748,0.0,
352,0.0326530612244898,0.0,
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.03551912568306011,0.0,0.8333333333333334
357,0.024475524475524476,0.0034965034965034965,0.0034965034965034965
358,0.0,0.0,0.0
359,0.006644518272425249,0.0033222591362126247,
360,0.0,0.0,0.0
361,0.011299435028248588,0.0,0.8389830508474576
362,0.0,0.0,0.0
363,0.010676156583629894,0.0035587188612099642,
364,0.0,0.0,0.0
365,0.0038461538461538464,0.007692307692307693,
366,0.0,0.0,0.0
367,0.10855263157894737,0.0,0.0
368,0.1891025641025641,0.057692307692307696,
369,0.0,0.0,0.0
370,0.0035335689045936395,0.0,0.0
371,0.014084507042253521,0.0,0.7859154929577464
372,0.0,0.0,0.0
373,0.10185185185185185,0.006172839506172839,
374,0.019083969465648856,0.0,0.0
375,0.3633879781420765,0.0,0.0
376,0.007194244604316547,0.0,0.0
377,0.0,0.0,
378,0.014388489208633094,0.0,0.0
379,0.026058631921824105,0.003257328990228013,
380,0.0,0.0,0.0
381,0.0,0.0,0.0
382,0.0038022813688212928,0.0,0.0
383,0.0,0.0,0.0
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.03690036900369004,0.0036900369003690036,
388,0.0648854961832061,0.0,0.0
389,0.02346041055718475,0.002932551319648094,0.45161290322580644
390,0.00392156862745098,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.03636363636363636,
393,0.0,0.0,0.0
394,0.014705882352941176,0.03676470588235294,
395,0.013793103448275862,0.0,0.0
396,0.0,0.0,0.0
397,0.0,0.0,0.0
398,0.08365019011406843,0.0,0.0
399,0.06802721088435375,0.030612244897959183,
400,0.05128205128205128,0.0,0.0
401,0.030716723549488054,0.0,
402,0.014084507042253521,0.0,0.0
403,0.0,0.0,0.0
404,0.0,0.004098360655737705,
405,0.0,0.0,
406,0.0,0.0,0.0
407,0.01092896174863388,0.0,0.8114754098360656
408,0.011976047904191617,0.029940119760479042,
409,0.03767123287671233,0.0,0.0
410,0.0,0.0,
411,0.015873015873015872,0.0,0.0
412,0.08358208955223881,0.0,0.0
413,0.02702702702702703,0.0,0.0
414,0.0,0.0,
