diagnosis_key,ccsr_diagnosis_code,ccsr_diagnosis_description
283,NEO016,GASTROINTESTINAL CANCERS - ANUS
284,NEO017,GASTROINTESTINAL CANCERS - LIVER
285,NEO018,GASTROINTESTINAL CANCERS - BILE DUCT
286,NEO019,GASTROINTESTINAL CANCERS - GALLBLADDER
287,NEO020,GASTROINTESTINAL CANCERS - PERITONEUM
288,NEO021,GASTROINTESTINAL CANCERS - ALL OTHER TYPES
289,NEO022,RESPIRATORY CANCERS
290,NEO023,BONE CANCER
291,NEO024,SARCOMA
292,NEO025,SKIN CANCERS - MELANOMA
293,NEO026,SKIN CANCERS - BASAL CELL CARCINOMA
294,NEO027,SKIN CANCERS - SQUAMOUS CELL CARCINOMA
295,NEO028,SKIN CANCERS - ALL OTHER TYPES
296,NEO029,BREAST CANCER - DUCTAL CARCINOMA IN SITU (DCIS)
297,NEO030,BREAST CANCER - ALL OTHER TYPES
298,NEO031,FEMALE REPRODUCTIVE SYSTEM CANCERS - UTERUS
299,NEO032,FEMALE REPRODUCTIVE SYSTEM CANCERS - CERVIX
300,NEO033,FEMALE REPRODUCTIVE SYSTEM CANCERS - OVARY
301,NEO034,FEMALE REPRODUCTIVE SYSTEM CANCERS - FALLOPIAN TUBE
302,NEO035,FEMALE REPRODUCTIVE SYSTEM CANCERS - ENDOMETRIUM
303,NEO036,FEMALE REPRODUCTIVE SYSTEM CANCERS - VULVA
304,NEO038,FEMALE REPRODUCTIVE SYSTEM CANCERS - ALL OTHER TYPES
305,NEO039,MALE REPRODUCTIVE SYSTEM CANCERS - PROSTATE
306,NEO040,MALE REPRODUCTIVE SYSTEM CANCERS - TESTIS
307,NEO041,MALE REPRODUCTIVE SYSTEM CANCERS - PENIS
308,NEO043,URINARY SYSTEM CANCERS - BLADDER
309,NEO044,URINARY SYSTEM CANCERS - URETER AND RENAL PELVIS
310,NEO045,URINARY SYSTEM CANCERS - KIDNEY
311,NEO046,URINARY SYSTEM CANCERS - URETHRA
312,NEO047,URINARY SYSTEM CANCERS - ALL OTHER TYPES
313,NEO048,NERVOUS SYSTEM CANCERS - BRAIN
314,NEO049,NERVOUS SYSTEM CANCERS - ALL OTHER TYPES
315,NEO050,ENDOCRINE SYSTEM CANCERS - THYROID
316,NEO051,ENDOCRINE SYSTEM CANCERS - PANCREAS
317,NEO052,ENDOCRINE SYSTEM CANCERS - THYMUS
318,NEO053,ENDOCRINE SYSTEM CANCERS - ADRENOCORTICAL
319,NEO056,ENDOCRINE SYSTEM CANCERS - ALL OTHER TYPES
320,NEO057,HODGKIN LYMPHOMA
321,NEO058,NON-HODGKIN LYMPHOMA
322,NEO059,LEUKEMIA - ACUTE LYMPHOBLASTIC LEUKEMIA (ALL)
323,NEO060,LEUKEMIA - ACUTE MYELOID LEUKEMIA (AML)
324,NEO061,LEUKEMIA - CHRONIC LYMPHOCYTIC LEUKEMIA (CLL)
325,NEO062,LEUKEMIA - CHRONIC MYELOID LEUKEMIA (CML)
326,NEO063,LEUKEMIA - HAIRY CELL
327,NEO064,LEUKEMIA - ALL OTHER TYPES
328,NEO065,MULTIPLE MYELOMA
329,NEO066,MALIGNANT NEUROENDOCRINE TUMORS
330,NEO067,MESOTHELIOMA
331,NEO068,MYELODYSPLASTIC SYNDROME (MDS)
332,NEO069,CANCER OF OTHER SITES
333,NEO070,SECONDARY MALIGNANCIES
334,NEO071,"MALIGNANT NEOPLASM, UNSPECIFIED"
335,NEO072,NEOPLASMS OF UNSPECIFIED NATURE OR UNCERTAIN BEHAVIOR
336,NEO073,BENIGN NEOPLASMS
337,NEO074,CONDITIONS DUE TO NEOPLASM OR THE TREATMENT OF NEOPLASM
338,NEO075,LEUKEMIA IN REMISSION
339,NVS001,MENINGITIS
340,NVS002,ENCEPHALITIS
341,NVS003,OTHER SPECIFIED CNS INFECTION AND POLIOMYELITIS
342,NVS004,PARKINSON`S DISEASE
343,NVS005,MULTIPLE SCLEROSIS
344,NVS006,OTHER NERVOUS SYSTEM DISORDERS (OFTEN HEREDITARY OR DEGENERATIVE)
345,NVS007,CEREBRAL PALSY
346,NVS008,PARALYSIS (OTHER THAN CEREBRAL PALSY)
347,NVS009,EPILEPSY; CONVULSIONS
348,NVS010,HEADACHE; INCLUDING MIGRAINE
349,NVS011,NEUROCOGNITIVE DISORDERS
350,NVS012,TRANSIENT CEREBRAL ISCHEMIA
351,NVS013,COMA; STUPOR; AND BRAIN DAMAGE
352,NVS014,CNS ABSCESS
353,NVS015,POLYNEUROPATHIES
354,NVS016,SLEEP WAKE DISORDERS
355,NVS017,NERVE AND NERVE ROOT DISORDERS
356,NVS018,MYOPATHIES
357,NVS019,NERVOUS SYSTEM PAIN AND PAIN SYNDROMES
358,NVS020,OTHER NERVOUS SYSTEM DISORDERS (NEITHER HEREDITARY NOR DEGENERATIVE)
359,NVS021,POSTPROCEDURAL OR POSTOPERATIVE NERVOUS SYSTEM COMPLICATION
360,PNL001,LIVEBORN
361,PNL002,SHORT GESTATION; LOW BIRTH WEIGHT; AND FETAL GROWTH RETARDATION
362,PNL004,NEONATAL CEREBRAL DISORDERS
363,PNL005,RESPIRATORY DISTRESS SYNDROME
364,PNL006,RESPIRATORY PERINATAL CONDITION
365,PNL007,HEMOLYTIC JAUNDICE AND PERINATAL JAUNDICE
366,PNL008,BIRTH TRAUMA
367,PNL009,PERINATAL INFECTIONS
368,PNL010,NEWBORN AFFECTED BY MATERNAL CONDITIONS OR COMPLICATIONS OF LABOR/DELIVERY
369,PNL011,HEMORRHAGIC AND HEMATOLOGIC DISORDERS OF NEWBORN
370,PNL012,NEONATAL DIGESTIVE AND FEEDING DISORDERS
371,PNL013,OTHER SPECIFIED AND UNSPECIFIED PERINATAL CONDITIONS
372,PNL014,NEONATAL ABSTINENCE SYNDROME
373,PNL015,FETAL ALCOHOL SYNDROME
374,PRG009,"EARLY, FIRST OR UNSPECIFIED TRIMESTER HEMORRHAGE"
375,PRG010,HEMORRHAGE AFTER FIRST TRIMESTER
376,PRG011,EARLY OR THREATENED LABOR
377,PRG012,MULTIPLE GESTATION
378,PRG013,MATERNAL CARE RELATED TO FETAL CONDITIONS
379,PRG014,POLYHYDRAMNIOS AND OTHER PROBLEMS OF AMNIOTIC CAVITY
380,PRG015,OBSTETRIC HISTORY AFFECTING CARE IN PREGNANCY
381,PRG016,PREVIOUS C-SECTION
382,PRG017,MATERNAL CARE FOR ABNORMALITY OF PELVIC ORGANS
383,PRG018,MATERNAL CARE RELATED TO DISORDERS OF THE PLACENTA AND PLACENTAL IMPLANTATION
384,PRG019,DIABETES OR ABNORMAL GLUCOSE TOLERANCE COMPLICATING PREGNANCY; CHILDBIRTH; OR THE PUERPERIUM
385,PRG020,HYPERTENSION AND HYPERTENSIVE-RELATED CONDITIONS COMPLICATING PREGNANCY; CHILDBIRTH; AND THE PUERPERIUM
386,PRG021,MATERNAL INTRAUTERINE INFECTION
387,PRG022,PROLONGED PREGNANCY
388,PRG023,COMPLICATIONS SPECIFIED DURING CHILDBIRTH
389,PRG024,"MALPOSITION, DISPROPORTION OR OTHER LABOR COMPLICATIONS"
390,PRG025,ANESTHESIA COMPLICATIONS DURING PREGNANCY
391,PRG026,OB-RELATED TRAUMA TO PERINEUM AND VULVA
392,PRG027,COMPLICATIONS SPECIFIED DURING THE PUERPERIUM
393,PRG028,OTHER SPECIFIED COMPLICATIONS IN PREGNANCY
394,PRG029,"UNCOMPLICATED PREGNANCY, DELIVERY OR PUERPERIUM"
395,RSP001,SINUSITIS
396,RSP002,PNEUMONIA (EXCEPT THAT CAUSED BY TUBERCULOSIS)
397,RSP003,INFLUENZA
398,RSP004,ACUTE AND CHRONIC TONSILLITIS
399,RSP005,ACUTE BRONCHITIS
400,RSP006,OTHER SPECIFIED UPPER RESPIRATORY INFECTIONS
401,RSP007,OTHER SPECIFIED AND UNSPECIFIED UPPER RESPIRATORY DISEASE
402,RSP008,CHRONIC OBSTRUCTIVE PULMONARY DISEASE AND BRONCHIECTASIS
403,RSP009,ASTHMA
404,RSP010,ASPIRATION PNEUMONITIS
405,RSP011,"PLEURISY, PLEURAL EFFUSION AND PULMONARY COLLAPSE"
406,RSP012,RESPIRATORY FAILURE; INSUFFICIENCY; ARREST
407,RSP013,LUNG DISEASE DUE TO EXTERNAL AGENTS
408,RSP014,PNEUMOTHORAX
409,RSP015,MEDIASTINAL DISORDERS
